127.0.0.1, 2018-05-09 15:28:21, GET, /, HTTP/1.1, 303, 0.007971
127.0.0.1, 2018-05-09 15:28:22, GET, /welcome/default/index, HTTP/1.1, 200, 1.499508
127.0.0.1, 2018-05-09 15:28:22, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-05-09 15:28:22, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.004002
127.0.0.1, 2018-05-09 15:28:22, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-05-09 15:28:22, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-05-09 15:28:23, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.003993
127.0.0.1, 2018-05-09 15:28:23, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.003999
127.0.0.1, 2018-05-09 15:28:23, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.003995
127.0.0.1, 2018-05-09 15:28:23, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-05-09 15:28:23, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-05-09 15:28:23, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.004004
127.0.0.1, 2018-05-09 15:28:23, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-05-09 15:28:23, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.003999
127.0.0.1, 2018-05-09 15:28:23, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.003999
127.0.0.1, 2018-05-09 15:28:36, GET, /admin, HTTP/1.1, 200, 0.869679
127.0.0.1, 2018-05-09 15:28:36, GET, /admin/static/_2.16.1/css/calendar.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-05-09 15:28:36, GET, /admin/static/_2.16.1/js/web2py.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-05-09 15:28:36, GET, /admin/static/_2.16.1/js/calendar.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-05-09 15:28:36, GET, /admin/static/_2.16.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-05-09 15:28:36, GET, /admin/static/_2.16.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-05-09 15:28:36, GET, /admin/static/_2.16.1/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-05-09 15:28:36, GET, /admin/static/_2.16.1/css/bootstrap.min.css, HTTP/1.1, 200, 0.008005
127.0.0.1, 2018-05-09 15:28:36, GET, /admin/static/_2.16.1/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.008005
127.0.0.1, 2018-05-09 15:28:36, GET, /admin/static/_2.16.1/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-05-09 15:28:36, GET, /admin/static/_2.16.1/js/bootstrap.min.js, HTTP/1.1, 200, 0.004002
127.0.0.1, 2018-05-09 15:28:37, GET, /admin/static/_2.16.1/images/questions.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-05-09 15:28:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-05-09 15:28:39, POST, /admin/default/index, HTTP/1.1, 303, 0.024017
127.0.0.1, 2018-05-09 15:28:39, GET, /admin/default/site, HTTP/1.1, 200, 0.155089
127.0.0.1, 2018-05-09 15:28:39, GET, /admin/static/_2.16.1/images/folder_locked.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-05-09 15:28:39, GET, /admin/static/_2.16.1/images/folder.png, HTTP/1.1, 200, 0.003982
127.0.0.1, 2018-05-09 15:28:40, GET, /admin/static/_2.16.1/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-05-09 15:28:42, POST, /admin/default/check_version, HTTP/1.1, 200, 2.281751
127.0.0.1, 2018-05-09 15:28:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-05-10 19:16:32, GET, /admin/static/_2.16.1/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.020016
127.0.0.1, 2018-05-10 19:17:06, POST, /admin/default/site, HTTP/1.1, 303, 0.204258
127.0.0.1, 2018-05-10 19:17:06, GET, /admin/default/index, HTTP/1.1, 200, 0.103076
127.0.0.1, 2018-05-10 19:17:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-05-10 19:17:20, POST, /admin/default/index, HTTP/1.1, 303, 0.051945
127.0.0.1, 2018-05-10 19:17:20, GET, /admin/default/site, HTTP/1.1, 200, 0.231331
127.0.0.1, 2018-05-10 19:17:23, POST, /admin/default/check_version, HTTP/1.1, 200, 2.775301
127.0.0.1, 2018-05-10 19:17:23, GET, /favicon.ico, HTTP/1.1, 400, 0.004000
127.0.0.1, 2018-05-10 19:17:25, POST, /admin/default/site, HTTP/1.1, 303, 0.431972
127.0.0.1, 2018-05-10 19:17:26, GET, /admin/default/design/tarefa, HTTP/1.1, 200, 0.402158
